
wonder_ecumenopolis;Grand Ecumenopolis;;;;;;;;;;;;;x
wonder_ecumenopolis_desc;A planet whose surface is completely urbanised. Skyscrapers and residential towers stretch high into the sky, and it is almost as if the whole planet consists of one city.;;;;;;;;;;;;;x
wonder_ecumenopolis_construction_desc;A Grand Ecumenopolis is a marvel of engineering that covers an entire planet. It can house a massive population, and potentially bring great wealth to its system.;;;;;;;;;;;;;x

wonder_bastion;Bastion;;;;;;;;;;;;;x
wonder_bastion_desc;A Bastion consists of a massive series of fortifications, automatic turrets, and missile defense systems. Without a doubt, the best defense that money can buy.;;;;;;;;;;;;;x
wonder_bastion_construction_desc;A large network of fortifications and turrets. A Bastion significantly increases the defensiveness of a system.;;;;;;;;;;;;;x

wonder_orbital_mansion;Orbital Mansion;;;;;;;;;;;;;x
wonder_orbital_mansion_desc;A large and luxurious Mansion in orbit around a planet. To be able to afford such a property is prestigious in and of itself.;;;;;;;;;;;;;x
wonder_orbital_mansion_construction_desc;A large and luxurious Mansion in orbit around a planet. To be able to afford such a property is prestigious in and of itself.;;;;;;;;;;;;;x

wonder_orbital_palace;Orbital Palace;;;;;;;;;;;;;x
wonder_orbital_palace_desc;A regal symbol of the prestigious lineage of its builder, this grand Palace orbits around a planet.;Symbole majestueux de la prestigieuse lignée de son constructeur, ce palais est unique en son genre.;Dieser Palast ist ein königliches Symbol für die prestigeträchtige Linie seines Erbauers. Er ist einzigartig.;;Un símbolo real del prestigioso linaje de su constructor, este palacio es único en su especie.;;;;;;;;;x
wonder_orbital_palace_construction_desc;A regal symbol of the Prestigious lineage of its builder, it can also be equipped with a number of facilities that help the builder with their love life or court intrigue.;Symbole royal de la prestigieuse lignée de son constructeur, il peut également être équipé de nombreux équipements qui l’aident dans sa vie amoureuse ou ses intrigues de cour.;Als Symbol der königlichen und prestigeträchtigen Linie seines Erbauers kann es mit einer Reihe von Einrichtungen ausgestattet werden, die dem Erbauer bei seinem Liebesleben oder seiner Intrige helfen.;;Un símbolo real del prestigioso linaje de su constructor, también puede ser equipado con una serie de instalaciones que ayuden al constructor con su vida amorosa o la intriga cortesana.;;;;;;;;;x

wonder_battleship_platform;Battleship Platform;;;;;;;;;;;;;x
wonder_battleship_platform_desc;A Battleship Platform specializes in manufacturing, storing and deploying a substantial number of Battleships. A valuable addition to any military arsenal.;;;;;;;;;;;;;x
wonder_battleship_platform_construction_desc;A Battleship Platform specializes in manufacturing, storing and deploying a substantial number of Battleships. A valuable addition to any military arsenal.;;;;;;;;;;;;;x
